source,target
pop punk,indiecoustica
pop punk,neo mellow
pop rock,pop punk
viral pop,pop punk
japanese alternative rock,anime rock
japanese alternative rock,j-poprock
rock-and-roll,adult standards
rockabilly,adult standards
rockabilly,rock-and-roll
ukulele,comic
moombahton,dance pop
moombahton,electronic trap
moombahton,house
garage rock,anti-folk
modern rock,anti-folk
permanent wave,anti-folk
rock,anti-folk
indie pop,brooklyn indie
indie poptimism,brooklyn indie
indie rock,brooklyn indie
indietronica,brooklyn indie
modern alternative rock,brooklyn indie
modern rock,brooklyn indie
shimmer pop,brooklyn indie
stomp and holler,brooklyn indie
stomp and holler,shimmer pop
gangster rap,g funk
west coast rap,g funk
west coast rap,gangster rap
west coast rap,hip hop
west coast rap,rap
uk pop,pop rap
nz pop,dance pop
nz pop,metropopolis
post-teen pop,nz pop
grime,bassline
instrumental grime,bassline
pop rap,bassline
pop rap,instrumental grime
pop,alternative dance
indie pop,australian dance
neo-synthpop,australian dance
pop,australian dance
dance-punk,australian electropop
electropop,australian electropop
indie pop,australian electropop
neo-synthpop,australian electropop
pop,australian electropop
neo-synthpop,dance-punk
pop,dance-punk
pop,neo-synthpop
pop,new rave
dance-punk,australian dance
dance-punk,australian hip hop
electronica,australian hip hop
dance-punk,australian indie
electronica,australian indie
tropical house,scandipop
australian house,australian dance
bass house,australian dance
bass house,australian house
electropop,australian dance
electropop,australian pop
latin,cubaton
latin hip hop,cubaton
latin pop,cubaton
tropical,cubaton
heartland rock,blues rock
hard rock,folk rock
heartland rock,hard rock
soft rock,hard rock
psychedelic rock,hard rock
psychedelic rock,metal
rare groove,hammond organ
british invasion,brill building pop
bubblegum pop,british invasion
merseybeat,british invasion
protopunk,brill building pop
protopunk,bubblegum pop
protopunk,classic garage rock
protopunk,folk rock
psychedelic rock,protopunk
classic garage rock,brill building pop
merseybeat,brill building pop
classic garage rock,bubblegum pop
merseybeat,bubblegum pop
classic rock,classic garage rock
folk rock,classic garage rock
merseybeat,classic garage rock
psychedelic rock,classic garage rock
merseybeat,classic rock
merseybeat,folk rock
psychedelic rock,merseybeat
canadian indigenous,american folk revival
canadian singer-songwriter,american folk revival
folk,american folk revival
native american,american folk revival
traditional folk,american folk revival
canadian singer-songwriter,canadian indigenous
folk,canadian indigenous
native american,canadian indigenous
traditional folk,canadian indigenous
native american,canadian singer-songwriter
native american,folk
traditional folk,native american
melancholia,classic rock
mellow gold,melancholia
rock,melancholia
exotica,easy listening
library music,easy listening
lounge,easy listening
moog,easy listening
spytrack,easy listening
library music,exotica
lounge,exotica
moog,exotica
spytrack,exotica
lounge,library music
moog,library music
spytrack,library music
moog,lounge
spytrack,lounge
spytrack,moog
chicago soul,brill building pop
deep adult standards,brill building pop
doo-wop,brill building pop
rhythm and blues,brill building pop
deep adult standards,chicago soul
doo-wop,chicago soul
rhythm and blues,chicago soul
doo-wop,deep adult standards
rhythm and blues,deep adult standards
rhythm and blues,doo-wop
folk,adult standards
singer-songwriter,adult standards
yacht rock,adult standards
singer-songwriter,brill building pop
yacht rock,brill building pop
blues rock,acid rock
classic rock,acid rock
psychedelic rock,acid rock
french soundtrack,classic soundtrack
soundtrack,french soundtrack
perreo,mexican pop
gospel r&b,gospel
modern alternative rock,anthem worship
electro,brostep
electro,complextro
electro,edm
electro house,electro
dream trance,deep progressive trance
hard trance,deep progressive trance
hard trance,dream trance
uplifting trance,deep big room
gauze pop,dance pop
gauze pop,edm
pop,gauze pop
post-teen pop,gauze pop
uk pop,gauze pop
socal pop punk,alternative dance
electronica,dance-punk
electropop,dance-punk
socal pop punk,dance-punk
indie pop,electronica
modern rock,electronica
socal pop punk,electronica
socal pop punk,electropop
socal pop punk,indie pop
socal pop punk,indie rock
socal pop punk,indietronica
socal pop punk,modern rock
socal pop punk,new rave
cartoon,british children's music
children's music,british children's music
new rave,garage rock
oxford indie,garage rock
oxford indie,indie rock
oxford indie,indietronica
oxford indie,modern rock
oxford indie,new rave
rock,oxford indie
norwegian pop,electro house
reggaeton chileno,latin pop
trap chileno,latin pop
trap chileno,reggaeton chileno
k-pop,chinese idol pop
malaysian pop,alternative r&b
uk dancehall,house
uk hip hop,house
grime,birmingham grime
instrumental grime,birmingham grime
rap,birmingham grime
instrumental grime,grime
rap,grime
rap,instrumental grime
latin hip hop,electro latino
spanish hip hop,latin pop
spanish pop,spanish hip hop
new french touch,chillwave
tropical house,chillwave
new french touch,electronica
shimmer pop,electronica
tropical house,electronica
shimmer pop,new french touch
tropical house,shimmer pop
indie poptimism,deep pop edm
tropical,grupera
praise,gospel
praise,naija worship
art pop,ambient folk
chamber psych,ambient folk
dunedin indie,ambient folk
indie folk,ambient folk
nz folk,ambient folk
nz pop,ambient folk
nz singer-songwriter,ambient folk
dunedin indie,art pop
nz folk,art pop
nz pop,art pop
nz singer-songwriter,art pop
dunedin indie,chamber pop
nz folk,chamber pop
nz pop,chamber pop
nz singer-songwriter,chamber pop
dunedin indie,chamber psych
nz folk,chamber psych
nz pop,chamber psych
nz singer-songwriter,chamber psych
indie folk,dunedin indie
nz folk,dunedin indie
nz pop,dunedin indie
nz singer-songwriter,dunedin indie
nz folk,indie folk
nz pop,indie folk
nz singer-songwriter,indie folk
nz pop,nz folk
nz singer-songwriter,nz folk
nz singer-songwriter,nz pop
rap conciencia,perreo
variete francaise,belgian pop
melodic rap,dark trap
pop,latin arena pop
popping,indie r&b
popping,pop
nz pop,nz electronic
edm,australian house
house,australian house
nu-metalcore,la indie
nu-metalcore,modern alternative rock
nu-metalcore,modern rock
canadian pop punk,alternative metal
canadian punk,alternative metal
modern rock,alternative metal
pop punk,alternative metal
punk,alternative metal
canadian punk,canadian pop punk
modern rock,canadian pop punk
nu metal,canadian pop punk
pop punk,canadian pop punk
post-grunge,canadian pop punk
punk,canadian pop punk
modern rock,canadian punk
nu metal,canadian punk
pop punk,canadian punk
post-grunge,canadian punk
punk,canadian punk
nu metal,modern rock
post-grunge,modern rock
pop punk,nu metal
punk,nu metal
post-grunge,pop punk
punk,pop punk
punk,post-grunge
latin talent show,latin pop
spanish pop,latin talent show
uk dancehall,dancehall
west end,broadway
west end,show tunes
hollywood,hip pop
neo soul,hollywood
pop,hollywood
r&b,hollywood
urban contemporary,hollywood
indian indie,hindi hip hop
indian indie,indian electronic
indian rock,indian electronic
world fusion,indian electronic
world fusion,indian indie
world fusion,indian rock
hindi hip hop,desi hip hop
indian rock,desi pop
indian rock,indian indie
modern bollywood,indian rock
sufi,indian rock
dancehall,basshall
baile pop,afrofuturismo brasileiro
bass trap,afrofuturismo brasileiro
electronic trap,afrofuturismo brasileiro
funk carioca,afrofuturismo brasileiro
pop nacional,afrofuturismo brasileiro
bass trap,baile pop
electronic trap,baile pop
funk carioca,bass trap
pop nacional,bass trap
funk carioca,electronic trap
pop nacional,electronic trap
nigerian pop,alternative r&b
uk alternative hip hop,alternative r&b
nigerian pop,indie r&b
uk alternative hip hop,nigerian pop
indie poptimism,deep groove house
indietronica,deep groove house
new french touch,deep groove house
nu disco,deep groove house
nu disco,edm
indie poptimism,house
nu disco,indie poptimism
indiecoustica,indie r&b
rock cristiano,latin christian
future garage,deep groove house
future garage,disco house
future garage,edm
house,future garage
progressive house,future garage
uk dance,future garage
colombian pop,colombian hip hop
cumbia,colombian hip hop
latin alternative,colombian hip hop
latin rock,colombian hip hop
salsa choke,colombian hip hop
latin alternative,colombian pop
salsa choke,colombian pop
latin alternative,cumbia
reggaeton,cumbia
salsa choke,cumbia
salsa choke,latin
reggaeton,latin alternative
salsa choke,latin alternative
salsa choke,latin pop
reggaeton,latin rock
salsa choke,latin rock
salsa choke,reggaeton
hollywood,broadway
show tunes,hollywood
taiwan pop,taiwan hip hop
london rap,indie soul
uk alternative hip hop,indie soul
viral pop,piano rock
epicore,british soundtrack
scorecore,british soundtrack
soundtrack,british soundtrack
soundtrack,epicore
deep melodic metalcore,australian metalcore
djent,australian metalcore
progressive metalcore,australian metalcore
djent,deep melodic metalcore
melodic metalcore,deep melodic metalcore
metalcore,deep melodic metalcore
nu-metalcore,deep melodic metalcore
progressive metalcore,deep melodic metalcore
nu-metalcore,djent
nu-metalcore,melodic metalcore
classical,baltic classical
compositional ambient,baltic classical
contemporary classical,baltic classical
minimalism,baltic classical
italian soundtrack,classic soundtrack
vintage italian soundtrack,classic soundtrack
soundtrack,italian soundtrack
vintage italian soundtrack,italian soundtrack
vintage italian soundtrack,soundtrack
polish contemporary classical,compositional ambient
polish contemporary classical,contemporary classical
polish contemporary classical,minimalism
french opera,classical
late romantic era,french opera
avant-garde,american contemporary classical
classical,american contemporary classical
compositional ambient,american contemporary classical
contemporary classical,american contemporary classical
drone,american contemporary classical
minimalism,american contemporary classical
classical,avant-garde
compositional ambient,avant-garde
contemporary classical,avant-garde
drone,avant-garde
minimalism,avant-garde
compositional ambient,classical
contemporary classical,classical
drone,classical
minimalism,classical
contemporary classical,compositional ambient
drone,compositional ambient
minimalism,compositional ambient
drone,contemporary classical
minimalism,contemporary classical
minimalism,drone
italian opera,early romantic era
late romantic era,italian opera
minimalism,anglican liturgy
minimalism,british contemporary classical
italian renaissance,classical
italian renaissance,early music
uk pop,indie electropop
soca,dancehall
aussietronica,alternative dance
australian electropop,alternative dance
australian hip hop,alternative dance
australian indie,alternative dance
australian pop,alternative dance
edm,alternative dance
house,alternative dance
australian dance,aussietronica
australian hip hop,aussietronica
house,aussietronica
new rave,aussietronica
house,australian dance
australian hip hop,australian electropop
house,australian electropop
new rave,australian electropop
edm,australian hip hop
house,australian hip hop
new rave,australian hip hop
house,australian indie
new rave,australian indie
house,australian pop
new rave,australian pop
new rave,edm
indietronica,house
new rave,house
latin,colombian hip hop
latin pop,colombian hip hop
reggaeton,colombian hip hop
pop nacional,electro house
pop edm,indie cafe pop
pop edm,hopebeat
british invasion,album rock
classic uk pop,album rock
progressive rock,album rock
psychedelic rock,album rock
symphonic rock,album rock
blues rock,art rock
british invasion,art rock
classic uk pop,art rock
progressive rock,art rock
psychedelic rock,art rock
symphonic rock,art rock
british invasion,blues rock
classic uk pop,blues rock
folk rock,blues rock
progressive rock,blues rock
psychedelic rock,blues rock
symphonic rock,blues rock
classic rock,british invasion
classic uk pop,british invasion
folk rock,british invasion
progressive rock,british invasion
psychedelic rock,british invasion
symphonic rock,british invasion
classic uk pop,classic rock
progressive rock,classic rock
symphonic rock,classic rock
folk rock,classic uk pop
progressive rock,classic uk pop
psychedelic rock,classic uk pop
symphonic rock,classic uk pop
progressive rock,folk rock
symphonic rock,folk rock
psychedelic rock,progressive rock
symphonic rock,progressive rock
symphonic rock,psychedelic rock
electronica,auckland indie
indie soul,auckland indie
indietronica,auckland indie
nu disco,auckland indie
vapor soul,auckland indie
nu disco,electronica
vapor soul,electronica
vapor soul,nu disco
tropical,puerto rican pop
pop urbaine,francoton
dutch pop,dutch house
tropical house,dutch pop
modern salsa,dominican pop
salsa,dominican pop
modern salsa,latin
salsa,modern salsa
tropical,modern salsa
thai idol,chinese soundtrack
otacore,japanese soundtrack
gothic metal,dutch metal
gothic symphonic metal,dutch metal
power metal,dutch metal
symphonic metal,dutch metal
dutch edm,bass house
dutch edm,deep groove house
swedish pop,big room
progressive electro house,deep pop edm
swedish pop,deep pop edm
swedish pop,edm
swedish pop,progressive electro house
swedish tropical house,progressive electro house
swedish tropical house,swedish pop
lgbtq+ hip hop,art pop
strut,art pop
trap queen,art pop
lgbtq+ hip hop,dance pop
trap queen,dance pop
hyperpop,electropop
lgbtq+ hip hop,electropop
strut,electropop
trap queen,electropop
strut,escape room
lgbtq+ hip hop,hyperpop
pop,hyperpop
strut,hyperpop
trap queen,hyperpop
strut,lgbtq+ hip hop
trap queen,strut
reggae fusion,australian reggae fusion
pop folk,indie folk
norwegian pop,big room
talent show,dance pop
talent show,girl group
uk pop,girl group
talent show,pop
talent show,post-teen pop
uk pop,talent show
azonto,afro dancehall
azonto,afropop
nigerian hip hop,azonto
nigerian pop,azonto
trap soul,bc underground hip hop
latin,cantautor
latin arena pop,cantautor
latin pop,cantautor
mexican pop,cantautor
rock en espanol,cantautor
spanish pop,cantautor
spanish pop,mexican pop
spanish pop,rock en espanol
melodic metal,finnish metal
mexican rock,latin
latin rock,latin arena pop
mexican rock,latin arena pop
rock en espanol,latin arena pop
mexican rock,latin pop
mexican rock,latin rock
mexican rock,mexican pop
rock en espanol,mexican rock
house,electropop
viral pop,german pop
piano rock,modern rock
rock,piano rock
pinoy alternative rap,opm
pinoy hip hop,pinoy alternative rap
big room,bass house
melbourne bounce,bass house
melbourne bounce,deep groove house
melbourne bounce,house
progressive house,melbourne bounce
baroque pop,albuquerque indie
chamber pop,albuquerque indie
indie pop,albuquerque indie
indie rock,albuquerque indie
stomp and holler,albuquerque indie
stomp and holler,baroque pop
shimmer pop,downtempo
norwegian pop,deep pop edm
norwegian pop,deep tropical house
modern alternative rock,australian alternative rock
modern rock,australian alternative rock
french pop,francoton
breakbeat,alternative dance
rave,alternative dance
breakbeat,big beat
rave,big beat
electronica,breakbeat
new rave,breakbeat
rave,breakbeat
rave,electronica
rave,new rave
j-rock,anime
judaica,jewish pop
r&b argentino,argentine hip hop
trap argentino,r&b argentino
french hip hop,francoton
rap conscient,francoton
pop rock,neo soul
australian electropop,aussietronica
australian indie,aussietronica
australian pop,aussietronica
edm,aussietronica
australian pop,australian electropop
edm,australian pop
indie soul,canadian electronic
indietronica,canadian electronic
indie soul,canadian house
indietronica,canadian house
tropical house,canadian house
deep house,alternative dance
tropical house,alternative dance
electro latino,dance pop
reggaeton,dance pop
spanish pop,dance pop
tropical,dance pop
dance pop,crunk
hip pop,crunk
urban contemporary,crunk
dance pop,chicago rap
pop,chicago rap
urban contemporary,chicago rap
east coast hip hop,dance pop
trap,deep pop r&b
trap,r&b
dance pop,chicano rap
dirty south rap,chicano rap
gangster rap,chicano rap
hip hop,chicano rap
hip pop,chicano rap
latin hip hop,chicano rap
pop rap,chicano rap
r&b,chicano rap
rap,chicano rap
southern hip hop,chicano rap
urban contemporary,chicano rap
latin hip hop,dance pop
hip pop,dirty south rap
latin hip hop,dirty south rap
r&b,dirty south rap
urban contemporary,dirty south rap
latin hip hop,gangster rap
latin hip hop,hip hop
latin hip hop,hip pop
pop rap,latin hip hop
r&b,latin hip hop
rap,latin hip hop
southern hip hop,latin hip hop
urban contemporary,latin hip hop
philly rap,dance pop
philly rap,hip pop
r&b,philly rap
urban contemporary,philly rap
harlem hip hop,battle rap
southern hip hop,battle rap
harlem hip hop,east coast hip hop
harlem hip hop,gangster rap
harlem hip hop,hardcore hip hop
hip hop,harlem hip hop
hip pop,harlem hip hop
pop rap,harlem hip hop
rap,harlem hip hop
southern hip hop,harlem hip hop
trap,harlem hip hop
crunk,bounce
dirty south rap,bounce
gangster rap,bounce
hip hop,bounce
new orleans rap,bounce
pop rap,bounce
rap,bounce
southern hip hop,bounce
trap,bounce
dirty south rap,crunk
gangster rap,crunk
hip hop,crunk
new orleans rap,crunk
pop rap,crunk
rap,crunk
southern hip hop,crunk
trap,crunk
new orleans rap,dirty south rap
new orleans rap,gangster rap
southern hip hop,new orleans rap
deep pop r&b,atl hip hop
girl group,atl hip hop
girl group,deep pop r&b
southern hip hop,girl group
dirty south rap,dance pop
new jack swing,east coast hip hop
old school hip hop,east coast hip hop
queens hip hop,east coast hip hop
r&b,east coast hip hop
southern hip hop,east coast hip hop
urban contemporary,east coast hip hop
new jack swing,hardcore hip hop
old school hip hop,hardcore hip hop
r&b,hardcore hip hop
urban contemporary,hardcore hip hop
old school hip hop,new jack swing
queens hip hop,new jack swing
pop rap,old school hip hop
r&b,old school hip hop
southern hip hop,old school hip hop
urban contemporary,old school hip hop
r&b,queens hip hop
southern hip hop,queens hip hop
urban contemporary,queens hip hop
boy band,atl hip hop
hip pop,atl hip hop
new jack swing,atl hip hop
r&b,atl hip hop
urban contemporary,atl hip hop
gangster rap,boy band
hip pop,boy band
new jack swing,boy band
pop rap,boy band
r&b,boy band
southern hip hop,boy band
urban contemporary,boy band
gangster rap,dance pop
new jack swing,gangster rap
r&b,gangster rap
urban contemporary,gangster rap
rap,new jack swing
southern hip hop,new jack swing
rap,neo soul
queens hip hop,gangster rap
queens hip hop,hardcore hip hop
trap,queens hip hop
new jack swing,dance pop
neo soul,deep pop r&b
new jack swing,deep pop r&b
new jack swing,neo soul
pop rap,neo soul
metal,blues rock
metal,classic rock
metal,country rock
latin pop,cumbia pop
latin viral pop,cumbia pop
float house,electra
uk dancehall,grime
uk hip hop,uk dancehall
show tunes,broadway
electronic trap,deep big room
electronic trap,dutch edm
electronic trap,dutch house
melancholia,canadian folk
permanent wave,canadian folk
melancholia,canadian singer-songwriter
permanent wave,canadian singer-songwriter
melancholia,folk
melancholia,folk rock
permanent wave,melancholia
singer-songwriter,melancholia
singer-songwriter,permanent wave
chamber pop,ambient folk
chillwave,ambient folk
downtempo,ambient folk
electronica,ambient folk
folktronica,ambient folk
indie soul,ambient folk
indietronica,ambient folk
downtempo,chamber pop
electronica,chamber pop
folktronica,downtempo
swedish gangsta rap,london rap
uk hip hop,swedish gangsta rap
mexican hip hop,colombian hip hop
perreo,colombian hip hop
nouvelle chanson francaise,french indie pop
nouvelle chanson francaise,french indietronica
nouvelle chanson francaise,new french touch
grave wave,dark post-punk
western mass indie,dark post-punk
western mass indie,grave wave
liquid funk,house
ghanaian pop,afro dancehall
ghanaian pop,afropop
ghanaian pop,azontobeats
indian folk,bhangra
punjabi pop,indian folk
neo-singer-songwriter,folk-pop
filter house,electro
tropical house,dutch hip hop
europop,british soul
pop,british soul
reggae fusion,pop
melbourne bounce,big room
melbourne bounce international,big room
melbourne bounce,dance pop
melbourne bounce,disco house
melbourne bounce international,disco house
melbourne bounce,electro house
melbourne bounce international,electro house
pop,melbourne bounce
progressive electro house,melbourne bounce
tropical house,melbourne bounce
pop,melbourne bounce international
progressive electro house,melbourne bounce international
tropical house,melbourne bounce international
garage rock,english indie rock
indie pop,english indie rock
hip house,grime
house,grime
uk dance,grime
house,hip house
tropical house,hip house
uk dance,hip house
tropical house,indie anthem-folk
uk contemporary r&b,tropical house
uk pop,uk contemporary r&b
trap espanol,latin
trap espanol,latin hip hop
trap latino,rap dominicano
trap espanol,reggaeton
trap latino,trap espanol
tropical,trap espanol
power pop,album rock
power pop,classic rock
power pop,new wave pop
folk rock,classic girl group
yacht rock,album rock
singer-songwriter,art rock
yacht rock,art rock
yacht rock,classic rock
yacht rock,country rock
yacht rock,folk
yacht rock,folk rock
singer-songwriter,heartland rock
yacht rock,heartland rock
singer-songwriter,new wave pop
yacht rock,pop rock
yacht rock,rock
yacht rock,roots rock
yacht rock,singer-songwriter
canadian pop,canadian country
country dawn,canadian country
dance pop,canadian country
country,canadian pop
country dawn,canadian pop
dance pop,country
dance pop,country dawn
girl group,bubblegum dance
pop,bubblegum dance
pop rock,bubblegum dance
post-teen pop,bubblegum dance
urban contemporary,bubblegum dance
pop rock,europop
post-teen pop,europop
urban contemporary,europop
pop rock,girl group
urban contemporary,pop rock
folk rock,adult standards
folk rock,classic soul
mellow gold,classic soul
soft rock,classic soul
folk rock,disco
funk,folk rock
motown,folk rock
quiet storm,folk rock
soul,folk rock
mellow gold,funk
soft rock,funk
post-disco,disco
post-disco,funk
post-disco,motown
quiet storm,post-disco
soul,post-disco
minneapolis sound,disco
country rock,art rock
dance rock,country rock
heartland rock,country rock
new romantic,country rock
new wave pop,country rock
pop rock,country rock
girl group,europop
pop,europop
reggae fusion,dance pop
reggae fusion,pop rap
swedish pop,lilith
swedish pop,new wave pop
swedish pop,permanent wave
swedish pop,pop rock
new wave,disco
synthpop,disco
filter house,alternative dance
filter house,australian dance
nu disco,australian dance
indietronica,filter house
new rave,filter house
lounge,adult standards
soft rock,adult standards
mellow gold,lounge
motown,lounge
quiet storm,lounge
soft rock,lounge
soul,lounge
vocal jazz,lounge
quiet storm,mellow gold
soul,mellow gold
vocal jazz,mellow gold
vocal jazz,motown
soft rock,quiet storm
vocal jazz,quiet storm
soul,soft rock
vocal jazz,soft rock
classic girl group,adult standards
disco,adult standards
quiet storm,adult standards
classic girl group,brill building pop
disco,brill building pop
quiet storm,brill building pop
classic soul,classic girl group
disco,classic girl group
funk,classic girl group
motown,classic girl group
quiet storm,classic girl group
soul,classic girl group
disco,classic soul
funk,disco
quiet storm,disco
soul,disco
baroque pop,art pop
uk alternative pop,art pop
pop,baroque pop
uk alternative pop,baroque pop
australian indie rock,australian indie
electric blues,album rock
electric blues,blues rock
soft rock,blues rock
electric blues,classic rock
mellow gold,electric blues
rock,electric blues
soft rock,electric blues
dance rock,australian rock
new romantic,australian rock
new wave,australian rock
new wave pop,australian rock
synthpop,australian rock
brill building pop,adult standards
classic soul,adult standards
funk,adult standards
memphis soul,adult standards
motown,adult standards
soul,adult standards
classic soul,brill building pop
funk,brill building pop
memphis soul,brill building pop
motown,brill building pop
soul,brill building pop
memphis soul,classic soul
memphis soul,funk
motown,memphis soul
soul,memphis soul
modern rock,britpop
jazz metal,djent
norwegian metal,djent
progressive metal,djent
norwegian metal,jazz metal
progressive metal,jazz metal
progressive metal,norwegian metal
future house,dutch edm
conscious hip hop,australian hip hop
escape room,australian hip hop
escape room,conscious hip hop
indie soul,conscious hip hop
jump up,drum and bass
liquid funk,jump up
eurodance,dream trance
trance,dream trance
progressive house,big beat
trance,big beat
uplifting trance,big beat
bubble trance,acid trance
trance,acid trance
uplifting trance,acid trance
uplifting trance,bubble trance
hard house,bubble trance
trance,hard house
progressive house,deep progressive trance
trance,deep progressive trance
uplifting trance,deep progressive trance
latin hip hop,guadalajara indie
mexican hip hop,guadalajara indie
perreo,guadalajara indie
italian hip hop,italian arena pop
italian pop,italian arena pop
italian pop,italian hip hop
hindi hip hop,desi pop
hindi hip hop,filmi
modern bollywood,hindi hip hop
sufi,hindi hip hop
desi pop,chutney
filmi,chutney
modern bollywood,chutney
sufi,chutney
nz reggae,australian pop
nz reggae,nz pop
bitpop,alt-idol
j-idol,alt-idol
j-pop,alt-idol
j-pop girl group,alt-idol
japanese electropop,alt-idol
shibuya-kei,alt-idol
j-idol,bitpop
j-pop,bitpop
j-pop girl group,bitpop
japanese electropop,bitpop
shibuya-kei,bitpop
j-pop girl group,j-idol
japanese electropop,j-idol
shibuya-kei,j-idol
j-pop girl group,j-pop
shibuya-kei,j-pop
japanese electropop,j-pop girl group
shibuya-kei,j-pop girl group
shibuya-kei,japanese electropop
folk-pop,australian indie
folk-pop,australian pop
irish hip hop,indie r&b
irish hip hop,indie soul
italian tech house,deep groove house
nashville singer-songwriter,deep new americana
nashville singer-songwriter,indie folk
new americana,nashville singer-songwriter
deep tech house,deep groove house
disco house,deep tech house
edm,deep tech house
house,deep tech house
progressive house,deep tech house
tropical house,deep tech house
uk dance,deep tech house
desi hip hop,bhangra
desi pop,bhangra
modern bollywood,bhangra
punjabi pop,bhangra
sufi,bhangra
sufi,desi hip hop
swedish singer-songwriter,swedish pop
trap italiana,italian hip hop
russian reggae,russian gangster rap
nordic house,dance pop
nordic house,edm
norwegian pop,edm
norwegian pop,nordic house
tropical house,nordic house
tollywood,filmi
marathi pop,deep indian pop
marathi pop,filmi
modern bollywood,marathi pop
tamil pop,marathi pop
indian edm,bass trap
indian edm,electronic trap
traprun,indian edm
vapor twitch,indian edm
pop rap,electronic trap
europop,boy band
deep pop edm,deep house
swedish tropical house,deep house
uk drill,grime
uk hip hop,uk drill
rap marseille,rap francais
punjabi pop,desi hip hop
japanese electropop,j-pop
japanese electropop,j-rock
sleep,environmental
water,environmental
water,sleep
malaysian mandopop,c-pop
mandopop,malaysian mandopop
australian indigenous,australian hip hop
australian indigenous,australian indie
australian pop,australian indigenous
sertanejo pop,funk carioca
sertanejo universitario,funk carioca
sertanejo universitario,sertanejo pop
german cloud rap,austrian pop
mandopop,mainland chinese pop
lithuanian electronic,bass trap
dance pop,alternative rock
post-grunge,dance pop
scottish new wave,art rock
synthpop,art rock
scottish new wave,dance rock
scottish new wave,mellow gold
synthpop,mellow gold
scottish new wave,new romantic
scottish new wave,new wave
scottish new wave,new wave pop
scottish new wave,rock
soft rock,scottish new wave
synthpop,scottish new wave
blues rock,album rock
southern rock,album rock
classic rock,blues rock
country rock,blues rock
hard rock,blues rock
mellow gold,blues rock
rock,blues rock
southern rock,blues rock
southern rock,classic rock
hard rock,country rock
southern rock,country rock
mellow gold,hard rock
southern rock,hard rock
southern rock,mellow gold
southern rock,rock
lilith,dance pop
piano rock,lilith
post-teen pop,lilith
post-teen pop,piano rock
new jack swing,hip hop
quiet storm,hip hop
r&b,hip hop
new jack swing,hip pop
quiet storm,hip pop
pop rap,new jack swing
quiet storm,new jack swing
r&b,new jack swing
urban contemporary,new jack swing
quiet storm,pop rap
r&b,quiet storm
urban contemporary,quiet storm
hip house,dance pop
old school hip hop,dance pop
hip hop,girl group
hip house,girl group
old school hip hop,girl group
queens hip hop,girl group
rap,girl group
hip house,hip hop
old school hip hop,hip hop
queens hip hop,hip hop
hip pop,hip house
old school hip hop,hip house
queens hip hop,hip house
rap,hip house
old school hip hop,hip pop
queens hip hop,old school hip hop
rap,old school hip hop
rap,queens hip hop
neo mellow,boy band
synthpop,rock
synthpop,soft rock
canadian pop,album rock
classic canadian rock,album rock
classic canadian rock,canadian pop
heartland rock,canadian pop
mellow gold,canadian pop
soft rock,canadian pop
heartland rock,canadian singer-songwriter
heartland rock,classic canadian rock
pop rock,classic canadian rock
soft rock,classic canadian rock
classic canadian rock,canadian singer-songwriter
mellow gold,classic canadian rock
funk,classic soul
motown,classic soul
northern soul,classic soul
quiet storm,classic soul
soul,classic soul
motown,funk
northern soul,funk
quiet storm,funk
northern soul,motown
quiet storm,motown
soul,motown
quiet storm,northern soul
soul,northern soul
soul,quiet storm
funk das antigas,baile pop
funk das antigas,funk carioca
j-pop,j-idol
pinoy trap,pinoy indie
pinoy trap,pinoy rock
swedish pop,scandinavian r&b
melodipop,europop
swedish idol pop,melodipop
swedish pop,melodipop
swedish soul,swedish pop
sami,europop
swedish idol pop,europop
swedish pop,europop
yoik,europop
swedish idol pop,sami
swedish pop,sami
yoik,sami
swedish pop,swedish idol pop
yoik,swedish idol pop
yoik,swedish pop
uk hip hop,dancehall
pinoy rock,opm
pinoy rock,pinoy indie
chinese indie,c-pop
mandopop,c-pop
taiwan pop,c-pop
mandopop,chinese indie
taiwan pop,chinese indie
taiwan pop,mandopop
indietronica,australian hip hop
rap conscient,french hip hop
rap conscient,pop urbaine
rap francais,rap conscient
latin rock,colombian pop
latin rock,cumbia
finnish metal,finnish death metal
folk metal,finnish death metal
gothic metal,finnish death metal
melodic death metal,finnish death metal
metal,finnish death metal
viking metal,finnish death metal
folk metal,finnish metal
melodic death metal,finnish metal
metal,finnish metal
viking metal,finnish metal
gothic metal,folk metal
melodic death metal,folk metal
metal,folk metal
viking metal,folk metal
melodic death metal,gothic metal
metal,gothic metal
viking metal,gothic metal
viking metal,melodic death metal
viking metal,metal
indian edm,desi hip hop
indian indie,desi hip hop
indian edm,desi pop
indian indie,indian edm
modern bollywood,indian edm
drum and bass,dance pop
house,drum and bass
pop,drum and bass
tropical house,drum and bass
uk dance,drum and bass
partyschlager,german house
pinoy hip hop,opm
pinoy r&b,opm
pinoy trap,opm
pinoy r&b,pinoy hip hop
pinoy trap,pinoy hip hop
pinoy trap,pinoy r&b
punjabi pop,filmi
sufi,punjabi pop
indian indie,desi pop
indian indie,filmi
indian indie,indian folk
modern bollywood,indian indie
sufi,indian indie
german pop,deep house
german dance,deep tropical house
german pop,deep tropical house
german pop,german dance
tropical house,german pop
drum and bass,brostep
liquid funk,brostep
edm,drum and bass
electro house,drum and bass
liquid funk,drum and bass
liquid funk,electro house
philly rap,melodic rap
g funk,detroit hip hop
hip hop,g funk
rap,g funk
